Designator,Footprint,Quantity,Value,LCSC Part #
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D3, D4, D5, D6, D7, D8, D9",SMD_SOD123_Leaded,22,Diode,
J1,OLED_4Pin,1,OLED,
J2,OLED_5Pin,1,OLED,
"J3, J5",fakemag4pin90degFemale,2,Magnetic connector,
"J4, J6",fakemag4pin90degMale,2,Magnetic connector,
"R1, R2",0805,2,10k,
"S1, S18",keyswitch_cherrymx_hotswap_1u_rotary_encoder_ec12,2,Rotary_Encoder_Switch,
"S10, S11, S12, S13, S14, S15, S16, S17, S19, S2, S20, S21, S22, S3, S4, S5, S6, S7, S8, S9",Hotswap_MX_Plated_1.00u,20,Keyswitch,
SW1,SW_SPST_TS-1088-xR020,1,RST,
U1,SuperMini_NRF52850_pro_micro,1,SuperMini_NRF52840,
