Designator,Mid X,Mid Y,Rotation,Layer
D1,58.8635,-58.8248,0.0,bottom
D10,90.71205,-76.6838,180.0,bottom
D11,91.0097,-95.7334,180.0,bottom
D12,91.30735,-114.783,180.0,bottom
D13,90.71205,-133.8326,180.0,bottom
D14,109.76165,-76.6838,180.0,bottom
D15,109.76165,-95.7334,180.0,bottom
D16,109.76165,-114.783,180.0,bottom
D17,109.76165,-133.8326,180.0,bottom
D18,128.81125,-67.45665,90.0,bottom
D19,128.81125,-76.6838,180.0,bottom
D2,57.97055,-76.6838,0.0,bottom
D20,128.81125,-95.7334,180.0,bottom
D21,136.55015,-114.783,180.0,bottom
D22,128.81125,-133.8326,180.0,bottom
D3,58.2682,-95.7334,0.0,bottom
D4,60.6494,-114.783,0.0,bottom
D5,57.37525,-133.8326,0.0,bottom
D6,71.66245,-76.6838,180.0,bottom
D7,71.66245,-95.7334,180.0,bottom
D8,79.40135,-114.783,180.0,bottom
D9,71.66245,-133.8326,180.0,bottom
J1,118.8798,-49.3216,90.0,top
J2,116.6392,-49.6216,90.0,top
J3,52.3152,-58.8264,0.0,top
J4,147.565,-58.825,0.0,top
J5,52.3152,-115.9752,0.0,top
J6,147.5632,-115.9752,0.0,top
R1,122.5606,-50.4922,0.0,bottom
R2,122.5606,-53.4687,0.0,bottom
S1,61.84,-49.3,180.0,bottom
S10,99.94,-68.35,180.0,top
S11,99.94,-87.4,180.0,top
S12,99.94,-106.45,180.0,top
S13,99.94,-125.5,180.0,top
S14,118.99,-68.35,180.0,top
S15,118.99,-87.4,180.0,top
S16,118.99,-106.45,180.0,top
S17,118.99,-125.5,180.0,top
S18,138.04,-49.299936,180.0,bottom
S19,138.04,-68.35,180.0,top
S2,61.84,-68.35,180.0,top
S20,138.04,-87.4,180.0,top
S21,138.04,-106.45,180.0,top
S22,138.04,-125.5,180.0,top
S3,61.84,-87.4,180.0,top
S4,61.84,-106.45,180.0,top
S5,61.84,-125.5,180.0,top
S6,80.89,-68.35,180.0,top
S7,80.89,-87.4,180.0,top
S8,80.89,-106.45,180.0,top
S9,80.89,-125.5,180.0,top
SW1,80.2943,-44.5392,270.0,bottom
U1,99.908515,-54.120758,0.0,bottom
